Japan,Bronze,2024,Badminton,Women's Doubles,MATSUYAMA/SHIDA
Japan,Bronze,2024,Badminton,Mixed Doubles,WATANABE/HIGASHINO
Japan,Gold,2024,Breaking,B-Girls,AMI
Japan,Bronze,2024,Equestrian,Eventing Team,Japan
Japan,Gold,2024,Fencing,Men's Épée Individual,KANO Koki
Japan,Gold,2024,Fencing,Men's Foil Team,Japan
Japan,Silver,2024,Fencing,Men's Épée Team,Japan
Japan,Bronze,2024,Fencing,Women's Foil Team,Japan
Japan,Bronze,2024,Fencing,Women's Sabre Team,Japan
Japan,Bronze,2024,Golf,Men's Individual Stroke Play,MATSUYAMA Hideki
Japan,Gold,2024,Judo,Women -48 kg,TSUNODA Natsumi
Japan,Gold,2024,Judo,Men -66 kg,ABE Hifumi
Japan,Gold,2024,Judo,Men -81 kg,NAGASE Takanori
Japan,Silver,2024,Judo,Men -90 kg,MURAO Sanshiro
Japan,Silver,2024,Judo,Mixed Team,Japan
Japan,Bronze,2024,Judo,Women -57 kg,FUNAKUBO Haruka
Japan,Bronze,2024,Judo,Men -60 kg,NAGAYAMA Ryuju
Japan,Bronze,2024,Judo,Men -73 kg,HASHIMOTO Soichi
Japan,Silver,2024,Sailing,Mixed Dinghy,OKADA/YOSHIOKA
Japan,Gold,2024,Skateboarding,Women's Street,YOSHIZAWA Coco
Japan,Gold,2024,Skateboarding,Men's Street,HORIGOME Yuto
Japan,Silver,2024,Skateboarding,Women's Street,AKAMA Liz
Japan,Silver,2024,Skateboarding,Women's Park,HIRAKI Cocona
Japan,Silver,2024,Sport Climbing,Men's Boulder & Lead,ANRAKU Sorato
Japan,Silver,2024,Swimming,Men's 400m Individual Medley,MATSUSHITA Tomoyuki
Japan,Bronze,2024,Table Tennis,Women's Singles,Hina HAYATA
Japan,Gold,2024,Wrestling,Men's Greco-Roman 60kg,FUMITA Kenichiro
Japan,Gold,2024,Wrestling,Men's Greco-Roman 77kg,KUSAKA Nao
Japan,Gold,2024,Wrestling,Women's Freestyle 53kg,FUJINAMI Akari
Japan,Gold,2024,Wrestling,Women's Freestyle 57kg,SAKURAI Tsugumi
Japan,Gold,2024,Wrestling,Men's Freestyle 57kg,HIGUCHI Rei
Japan,Bronze,2024,Wrestling,Women's Freestyle 50kg,SUSAKI Yui
Japan,Bronze,2024,Wrestling,Women's Freestyle 68kg,OZAKI Nonoka
Great Britain,Bronze,2024,Artistic Gymnastics,Men's Floor Exercise,Jake JARMAN
Great Britain,Bronze,2024,Artistic Gymnastics,Men's Vault,Harry HEPWORTH
Great Britain,Gold,2024,Athletics,Women's 800m,Keely HODGKINSON
Great Britain,Silver,2024,Athletics,Men's 400m,Matthew HUDSON-SMITH
Great Britain,Silver,2024,Athletics,Men's 1500m,Josh KERR
Great Britain,Silver,2024,Athletics,Women's Heptathlon,Katarina JOHNSON-THOMPSON
Great Britain,Silver,2024,Athletics,Women's 4 x 100m Relay,Great Britain
Great Britain,Bronze,2024,Athletics,Men's 4 x 100m Relay,Great Britain
Great Britain,Bronze,2024,Athletics,4 x 400m Relay Mixed,Great Britain
Great Britain,Bronze,2024,Boxing,Men's 71kg,Lewis RICHARDSON
Great Britain,Silver,2024,Canoe Slalom,Men's Canoe Single,Adam BURGESS
Great Britain,Silver,2024,Canoe Slalom,Men's Kayak Cross,Joseph CLARKE
Great Britain,Bronze,2024,Canoe Slalom,Women's Kayak Single,Kimberley WOODS
Great Britain,Bronze,2024,Canoe Slalom,Women's Kayak Cross,Kimberley WOODS
Great Britain,Silver,2024,Cycling BMX Freestyle,Men's Park,Kieran Darren David REILLY
Great Britain,Gold,2024,Cycling Mountain Bike,Men's Cross-country,Thomas PIDCOCK
Great Britain,Silver,2024,Cycling Road,Women's Individual Time Trial,Anna HENDERSON
Great Britain,Gold,2024,Cycling Track,Women's Team Sprint,Great Britain
Great Britain,Silver,2024,Cycling Track,Men's Team Sprint,Great Britain
Great Britain,Silver,2024,Cycling Track,Men's Team Pursuit,Great Britain
Great Britain,Silver,2024,Cycling Track,Women's Madison,BARKER/EVANS
Great Britain,Bronze,2024,Cycling Track,Men's Sprint,Jack CARLIN
Great Britain,Bronze,2024,Cycling Track,Women's Keirin,Emma FINUCANE
Great Britain,Bronze,2024,Cycling Track,Women's Team Pursuit,Great Britain
Great Britain,Silver,2024,Diving,Men's Synchronised 10m Platform,DALEY/WILLIAMS
Great Britain,Bronze,2024,Diving,Women's Synchronised 3m Springboard,HARPER/MEW JENSEN
Great Britain,Bronze,2024,Diving,Women's Synchronised 10m Platform,SPENDOLINI/TOULSON
Great Britain,Bronze,2024,Diving,Men's Synchronised 3m Springboard,HARDING/LAUGHER
Great Britain,Gold,2024,Equestrian,Eventing Team,Great Britain
Great Britain,Gold,2024,Equestrian,Jumping Team,Great Britain
